category,sub_category,base_product,variant_name,sku,material,size_ft,bed_type,storage,foam_included,stock_type,description,base_price
Furniture,Bed,Bed,Sagwan Bed King 6×7 With Storage,BED-SAG-6K-S,Sagwan / Sheesham,6×7 ft,Regular,With Storage,No,Stock Item,"Head Board & Foot Board 2 Inch Sagwan/Sheesham | Sal Wood Frame | 16 Inch Box Storage | Commercial Ply 18mm/12mm | Hand Polished",67500
Furniture,Bed,Bed,PlyBoard & Laminates Bed King 6×7 Without Storage,BED-PLY-6K-NS,PlyBoard & Laminates,6×7 ft,Regular,Without Storage,No,Stock Item,"Head Board & Foot Board 2 Inch PlyBoard & Laminates | Sal Wood Frame | 5 Inch Legs | Commercial Ply 18mm | Hand Polished",18000
Furniture,Bed,Bed,PlyBoard & Laminates Bed Queen 5×7 With Storage,BED-PLY-5Q-S,PlyBoard & Laminates,5×7 ft,Regular,With Storage,No,Stock Item,"Head Board & Foot Board 2 Inch PlyBoard & Laminates | Sal Wood Frame | 16 Inch Box Storage | Commercial Ply 18mm/12mm | Hand Polished",24000
Furniture,Bed,Bed,PlyBoard & Laminates Bed Queen 5×7 Without Storage,BED-PLY-5Q-NS,PlyBoard & Laminates,5×7 ft,Regular,Without Storage,No,Stock Item,"Head Board & Foot Board 2 Inch PlyBoard & Laminates | Sal Wood Frame | 5 Inch Legs | Commercial Ply 18mm | Hand Polished",15000
Furniture,Bed,Bed,PlyBoard & Laminates Bed King 6×7 Hydraulic Storage,BED-PLY-6K-HS,PlyBoard & Laminates,6×7 ft,Hydraulic,Hydraulic Storage,No,Made to Order,"Head Board & Foot Board PlyBoard & Laminates | Sal Wood Frame | Full Under-Bed Gas-Lift Hydraulic Storage | Commercial Ply 18mm | Hand Polished",33000
Furniture,Bed,Bed,PlyBoard & Laminates Bed Queen 5×7 Hydraulic Storage,BED-PLY-5Q-HS,PlyBoard & Laminates,5×7 ft,Hydraulic,Hydraulic Storage,No,Made to Order,"Head Board & Foot Board PlyBoard & Laminates | Sal Wood Frame | Full Under-Bed Gas-Lift Hydraulic Storage | Commercial Ply 18mm | Hand Polished",30000
Furniture,Bed,Bed,PlyBoard & Laminates Sofa Cum Bed 5×6 With Storage,BED-PLY-SCB-S,PlyBoard & Laminates,5×6 ft,Sofa Cum Bed,With Storage,No,Stock Item,"PlyBoard & Foam Frame | Converts Sofa to Full Bed | Under-Seat Storage | Commercial Ply | Laminate Finish",31500
Furniture,Bed,Bed,Particle Board Bed King 6×7 With Storage,BED-PAR-6K-S,Particle Board,6×7 ft,Regular,With Storage,No,Stock Item,"Head Board & Foot Board 18mm Particle Board | Iron Frame Support | 16 Inch Box Storage | Particle Board 18mm | Laminate Finish",22500
Furniture,Bed,Bed,Particle Board Bed King 6×7 Without Storage,BED-PAR-6K-NS,Particle Board,6×7 ft,Regular,Without Storage,No,Stock Item,"Head Board & Foot Board 18mm Particle Board | Iron Frame Support | 5 Inch Legs | Particle Board 18mm | Laminate Finish",15000
Furniture,Bed,Bed,Particle Board Bed Queen 5×7 With Storage,BED-PAR-5Q-S,Particle Board,5×7 ft,Regular,With Storage,No,Stock Item,"Head Board & Foot Board 18mm Particle Board | Iron Frame Support | 16 Inch Box Storage | Particle Board 18mm | Laminate Finish",19500
Furniture,Bed,Bed,Particle Board Bed Queen 5×7 Without Storage,BED-PAR-5Q-NS,Particle Board,5×7 ft,Regular,Without Storage,No,Stock Item,"Head Board & Foot Board 18mm Particle Board | Iron Frame Support | 5 Inch Legs | Particle Board 18mm | Laminate Finish",12000
Furniture,Bed,Bed,Stainless Steel Bed King 6×7 With Storage,BED-SS-6K-S,Stainless Steel,6×7 ft,Regular,With Storage,No,Stock Item,"Head Board & Foot Board 2 Inch SS & Particle Board | SS Square Pipe Frame | 16 Inch Box Storage | Particle Board 18mm | Powder Coated",22500
Furniture,Bed,Bed,Stainless Steel Bed King 6×7 Without Storage,BED-SS-6K-NS,Stainless Steel,6×7 ft,Regular,Without Storage,No,Stock Item,"Head Board & Foot Board 2 Inch SS & Particle Board | SS Square Pipe Frame | 5 Inch Legs | Commercial Ply 16mm | Powder Coated",13500
Furniture,Bed,Bed,Stainless Steel Bed Queen 5×7 With Storage,BED-SS-5Q-S,Stainless Steel,5×7 ft,Regular,With Storage,No,Stock Item,"Head Board & Foot Board 2 Inch SS & Particle Board | SS Square Pipe Frame | 16 Inch Box Storage | Particle Board 18mm | Powder Coated",21000
Furniture,Bed,Bed,Stainless Steel Bed Queen 5×7 Without Storage,BED-SS-5Q-NS,Stainless Steel,5×7 ft,Regular,Without Storage,No,Stock Item,"Head Board & Foot Board 2 Inch SS & Particle Board | SS Square Pipe Frame | 5 Inch Legs | Commercial Ply 16mm | Powder Coated",12000
Furniture,Bed,Bed,Stainless Steel Sofa Cum Bed 5×6 With Storage,BED-SS-SCB-S,Stainless Steel,5×6 ft,Sofa Cum Bed,With Storage,No,Stock Item,"SS Pipe Frame | Converts Sofa to Full Bed | Under-Seat Storage | Commercial Ply | Powder Coated",22500
Furniture,Bed,Bed,Stainless Steel Foldable Bed 3×6 Without Foam,BED-SS-3F,Stainless Steel,3×6 ft,Foldable,Without Storage,No,Stock Item,"1 Inch SS Round Pipe | Ply/MDF Slat Base | Folds Flat for Storage | Size 3×6 ft | Powder Coated",3000
Furniture,Bed,Bed,Stainless Steel Foldable Bed 3×6 With Foam,BED-SS-3FF,Stainless Steel,3×6 ft,Foldable,Without Storage,Yes,Stock Item,"1 Inch SS Round Pipe | Ply/MDF Slat Base | 2 Inch Foam Mattress Included | Size 3×6 ft | Powder Coated",4500
Furniture,Bed,Bed,Stainless Steel Foldable Bed 3.5×6 Without Foam,BED-SS-35F,Stainless Steel,3.5×6 ft,Foldable,Without Storage,No,Stock Item,"1 Inch SS Round Pipe | Ply/MDF Slat Base | Folds Flat for Storage | Size 3.5×6 ft | Powder Coated",4500
Furniture,Bed,Bed,Stainless Steel Foldable Bed 3.5×6 With Foam,BED-SS-35FF,Stainless Steel,3.5×6 ft,Foldable,Without Storage,Yes,Stock Item,"1 Inch SS Round Pipe | Ply/MDF Slat Base | 2 Inch Foam Mattress Included | Size 3.5×6 ft | Powder Coated",6000
